parameter_id,iteration,species,N
1,1,species_02,12
1,1,species_14,4
1,2,species_02,10
1,2,species_14,3
1,2,species_19,3
1,3,species_02,11
1,3,species_14,4
1,3,species_19,1
1,4,species_02,12
1,4,species_06,1
1,4,species_14,3
1,5,species_02,10
1,5,species_14,2
1,5,species_19,4
2,1,species_037,1
2,1,species_059,3
2,1,species_072,1
2,1,species_115,1
2,1,species_127,3
2,1,species_164,6
2,1,species_177,2
2,1,species_193,1
2,2,species_059,2
2,2,species_063,2
2,2,species_071,1
2,2,species_072,2
2,2,species_083,1
2,2,species_113,1
2,2,species_127,3
2,2,species_164,3
2,2,species_177,2
2,2,species_193,1
2,3,species_015,1
2,3,species_026,1
2,3,species_063,1
2,3,species_083,1
2,3,species_087,1
2,3,species_127,1
2,3,species_132,2
2,3,species_164,4
2,3,species_172,1
2,3,species_177,2
2,3,species_189,1
2,3,species_193,2
2,4,species_006,1
2,4,species_026,2
2,4,species_028,1
2,4,species_083,2
2,4,species_087,1
2,4,species_093,1
2,4,species_115,1
2,4,species_127,1
2,4,species_164,1
2,4,species_172,1
2,4,species_177,1
2,4,species_189,1
2,4,species_193,2
2,4,species_198,2
2,5,species_037,1
2,5,species_051,1
2,5,species_059,1
2,5,species_072,1
2,5,species_083,1
2,5,species_093,1
2,5,species_127,1
2,5,species_135,1
2,5,species_164,4
2,5,species_176,1
2,5,species_193,3
2,5,species_198,1
2,5,species_200,1
3,1,species_04,59
3,1,species_10,8
3,1,species_11,2
3,1,species_12,3
3,1,species_14,175
3,2,species_04,89
3,2,species_10,4
3,2,species_11,3
3,2,species_12,5
3,2,species_14,144
3,2,species_19,2
3,3,species_01,6
3,3,species_04,110
3,3,species_10,10
3,3,species_11,4
3,3,species_12,6
3,3,species_14,107
3,3,species_17,2
3,3,species_19,2
3,4,species_01,4
3,4,species_02,1
3,4,species_04,115
3,4,species_08,1
3,4,species_10,7
3,4,species_11,5
3,4,species_12,11
3,4,species_14,95
3,4,species_17,3
3,4,species_19,5
3,5,species_01,11
3,5,species_02,1
3,5,species_04,104
3,5,species_07,1
3,5,species_08,2
3,5,species_10,10
3,5,species_11,4
3,5,species_12,13
3,5,species_13,1
3,5,species_14,93
3,5,species_17,4
3,5,species_19,3
4,1,species_006,1
4,1,species_009,8
4,1,species_030,12
4,1,species_031,11
4,1,species_047,10
4,1,species_066,1
4,1,species_067,2
4,1,species_075,26
4,1,species_091,1
4,1,species_092,24
4,1,species_093,11
4,1,species_095,3
4,1,species_097,5
4,1,species_099,1
4,1,species_116,3
4,1,species_127,2
4,1,species_128,6
4,1,species_144,6
4,1,species_154,6
4,1,species_173,13
4,1,species_190,7
4,1,species_195,6
4,2,species_009,5
4,2,species_014,1
4,2,species_030,11
4,2,species_031,6
4,2,species_040,3
4,2,species_047,15
4,2,species_066,1
4,2,species_067,3
4,2,species_075,19
4,2,species_084,1
4,2,species_091,1
4,2,species_092,14
4,2,species_093,13
4,2,species_095,4
4,2,species_097,13
4,2,species_099,1
4,2,species_105,2
4,2,species_116,1
4,2,species_117,2
4,2,species_127,2
4,2,species_128,10
4,2,species_144,7
4,2,species_147,1
4,2,species_154,4
4,2,species_173,8
4,2,species_190,7
4,2,species_195,10
4,3,species_006,2
4,3,species_009,6
4,3,species_013,1
4,3,species_018,1
4,3,species_029,1
4,3,species_030,8
4,3,species_031,5
4,3,species_038,1
4,3,species_045,1
4,3,species_047,10
4,3,species_064,2
4,3,species_067,2
4,3,species_075,16
4,3,species_084,3
4,3,species_091,2
4,3,species_092,11
4,3,species_093,16
4,3,species_095,9
4,3,species_097,11
4,3,species_105,5
4,3,species_106,1
4,3,species_116,1
4,3,species_117,1
4,3,species_123,1
4,3,species_127,1
4,3,species_128,11
4,3,species_144,6
4,3,species_147,2
4,3,species_154,8
4,3,species_165,2
4,3,species_173,7
4,3,species_190,5
4,3,species_195,5
4,3,species_200,1
4,4,species_006,1
4,4,species_009,7
4,4,species_013,1
4,4,species_014,1
4,4,species_024,1
4,4,species_029,1
4,4,species_030,6
4,4,species_031,8
4,4,species_038,3
4,4,species_040,3
4,4,species_047,9
4,4,species_060,1
4,4,species_064,1
4,4,species_067,1
4,4,species_075,15
4,4,species_084,4
4,4,species_090,1
4,4,species_091,2
4,4,species_092,8
4,4,species_093,17
4,4,species_095,9
4,4,species_097,8
4,4,species_099,2
4,4,species_105,5
4,4,species_116,4
4,4,species_117,1
4,4,species_123,1
4,4,species_127,1
4,4,species_128,9
4,4,species_135,3
4,4,species_144,4
4,4,species_147,7
4,4,species_154,3
4,4,species_172,1
4,4,species_173,6
4,4,species_190,2
4,4,species_192,4
4,4,species_194,1
4,4,species_195,3
4,5,species_006,3
4,5,species_009,7
4,5,species_010,2
4,5,species_013,2
4,5,species_014,3
4,5,species_027,4
4,5,species_029,2
4,5,species_030,11
4,5,species_031,4
4,5,species_033,1
4,5,species_034,1
4,5,species_038,2
4,5,species_040,1
4,5,species_045,1
4,5,species_047,8
4,5,species_051,2
4,5,species_060,1
4,5,species_064,1
4,5,species_067,3
4,5,species_071,1
4,5,species_075,15
4,5,species_083,1
4,5,species_084,1
4,5,species_091,3
4,5,species_092,9
4,5,species_093,10
4,5,species_095,7
4,5,species_097,6
4,5,species_105,5
4,5,species_116,4
4,5,species_117,4
4,5,species_123,1
4,5,species_127,1
4,5,species_128,3
4,5,species_135,6
4,5,species_144,3
4,5,species_147,4
4,5,species_154,9
4,5,species_173,2
4,5,species_183,1
4,5,species_190,3
4,5,species_192,1
4,5,species_193,1
4,5,species_195,5
5,1,species_13,2
5,2,species_13,2
5,3,species_13,2
5,4,species_13,2
5,5,species_13,2
6,1,species_029,4
6,1,species_030,3
6,1,species_039,3
6,1,species_064,1
6,1,species_083,3
6,1,species_139,1
6,1,species_146,3
6,1,species_171,1
6,2,species_001,2
6,2,species_019,1
6,2,species_029,1
6,2,species_030,2
6,2,species_034,1
6,2,species_039,2
6,2,species_041,1
6,2,species_053,1
6,2,species_064,1
6,2,species_083,1
6,2,species_088,1
6,2,species_139,1
6,2,species_146,4
6,3,species_001,2
6,3,species_019,1
6,3,species_029,1
6,3,species_030,4
6,3,species_041,2
6,3,species_064,1
6,3,species_083,2
6,3,species_084,1
6,3,species_088,1
6,3,species_139,1
6,3,species_146,1
6,3,species_147,1
6,3,species_166,1
6,4,species_001,2
6,4,species_019,2
6,4,species_039,2
6,4,species_041,1
6,4,species_053,1
6,4,species_083,3
6,4,species_084,2
6,4,species_088,1
6,4,species_139,2
6,4,species_146,3
6,5,species_001,2
6,5,species_019,1
6,5,species_029,3
6,5,species_030,1
6,5,species_041,1
6,5,species_083,3
6,5,species_084,2
6,5,species_088,2
6,5,species_146,3
6,5,species_153,1
7,1,species_05,28
7,1,species_08,30
7,1,species_10,8
7,1,species_11,18
7,1,species_13,182
7,2,species_01,1
7,2,species_05,56
7,2,species_08,28
7,2,species_10,22
7,2,species_11,27
7,2,species_13,126
7,2,species_16,6
7,3,species_01,1
7,3,species_05,70
7,3,species_08,37
7,3,species_10,29
7,3,species_11,47
7,3,species_13,81
7,3,species_16,1
7,4,species_05,72
7,4,species_08,32
7,4,species_09,1
7,4,species_10,35
7,4,species_11,47
7,4,species_13,77
7,4,species_16,2
7,5,species_01,2
7,5,species_05,73
7,5,species_08,35
7,5,species_09,1
7,5,species_10,57
7,5,species_11,45
7,5,species_13,51
7,5,species_16,2
8,1,species_005,4
8,1,species_009,5
8,1,species_012,1
8,1,species_018,4
8,1,species_023,5
8,1,species_024,32
8,1,species_029,8
8,1,species_033,1
8,1,species_045,6
8,1,species_050,2
8,1,species_051,12
8,1,species_055,27
8,1,species_062,1
8,1,species_063,16
8,1,species_069,12
8,1,species_079,17
8,1,species_100,14
8,1,species_107,1
8,1,species_108,14
8,1,species_117,3
8,1,species_138,12
8,1,species_141,1
8,1,species_149,5
8,1,species_154,3
8,1,species_157,1
8,1,species_166,11
8,1,species_168,1
8,1,species_171,2
8,1,species_186,3
8,2,species_005,6
8,2,species_009,2
8,2,species_012,3
8,2,species_018,8
8,2,species_021,3
8,2,species_023,5
8,2,species_024,21
8,2,species_029,10
8,2,species_045,8
8,2,species_050,3
8,2,species_051,14
8,2,species_055,20
8,2,species_062,5
8,2,species_063,10
8,2,species_069,16
8,2,species_079,14
8,2,species_100,10
8,2,species_107,1
8,2,species_108,9
8,2,species_110,2
8,2,species_116,1
8,2,species_117,2
8,2,species_138,8
8,2,species_141,3
8,2,species_149,10
8,2,species_153,1
8,2,species_154,3
8,2,species_157,5
8,2,species_161,2
8,2,species_162,1
8,2,species_166,9
8,2,species_168,1
8,2,species_171,2
8,2,species_186,5
8,2,species_196,1
8,3,species_005,8
8,3,species_007,1
8,3,species_009,4
8,3,species_012,3
8,3,species_018,1
8,3,species_019,1
8,3,species_021,3
8,3,species_023,10
8,3,species_024,17
8,3,species_029,15
8,3,species_031,1
8,3,species_035,1
8,3,species_045,5
8,3,species_049,1
8,3,species_050,5
8,3,species_051,13
8,3,species_054,3
8,3,species_055,14
8,3,species_060,1
8,3,species_062,4
8,3,species_063,10
8,3,species_067,1
8,3,species_069,13
8,3,species_072,1
8,3,species_079,7
8,3,species_081,2
8,3,species_090,1
8,3,species_095,1
8,3,species_100,6
8,3,species_107,2
8,3,species_108,4
8,3,species_110,4
8,3,species_113,2
8,3,species_116,2
8,3,species_117,4
8,3,species_138,5
8,3,species_141,5
8,3,species_149,8
8,3,species_153,2
8,3,species_154,10
8,3,species_157,4
8,3,species_161,3
8,3,species_166,7
8,3,species_171,1
8,3,species_186,6
8,3,species_196,2
8,4,species_003,1
8,4,species_005,3
8,4,species_009,8
8,4,species_015,1
8,4,species_018,3
8,4,species_021,3
8,4,species_022,1
8,4,species_023,8
8,4,species_024,19
8,4,species_029,10
8,4,species_031,1
8,4,species_033,1
8,4,species_035,2
8,4,species_039,1
8,4,species_045,5
8,4,species_050,7
8,4,species_051,13
8,4,species_054,1
8,4,species_055,9
8,4,species_062,4
8,4,species_063,12
8,4,species_069,5
8,4,species_072,2
8,4,species_079,6
8,4,species_088,1
8,4,species_089,1
8,4,species_090,2
8,4,species_099,1
8,4,species_100,4
8,4,species_107,6
8,4,species_108,9
8,4,species_110,6
8,4,species_113,1
8,4,species_116,6
8,4,species_117,6
8,4,species_134,1
8,4,species_138,3
8,4,species_141,8
8,4,species_149,10
8,4,species_153,2
8,4,species_154,7
8,4,species_157,4
8,4,species_161,3
8,4,species_166,9
8,4,species_171,3
8,4,species_176,1
8,4,species_186,2
8,4,species_199,1
8,4,species_200,1
8,5,species_003,2
8,5,species_005,4
8,5,species_009,4
8,5,species_011,2
8,5,species_012,5
8,5,species_018,2
8,5,species_021,4
8,5,species_022,1
8,5,species_023,7
8,5,species_024,8
8,5,species_029,11
8,5,species_033,2
8,5,species_035,4
8,5,species_039,1
8,5,species_045,9
8,5,species_050,3
8,5,species_051,14
8,5,species_055,7
8,5,species_060,2
8,5,species_062,3
8,5,species_063,16
8,5,species_067,1
8,5,species_069,15
8,5,species_072,5
8,5,species_079,4
8,5,species_080,1
8,5,species_081,1
8,5,species_088,1
8,5,species_089,1
8,5,species_090,3
8,5,species_099,1
8,5,species_100,3
8,5,species_107,3
8,5,species_108,6
8,5,species_110,2
8,5,species_116,6
8,5,species_117,7
8,5,species_128,1
8,5,species_138,5
8,5,species_141,9
8,5,species_149,5
8,5,species_153,4
8,5,species_154,4
8,5,species_157,4
8,5,species_161,1
8,5,species_166,12
8,5,species_176,1
8,5,species_184,1
8,5,species_186,5
8,5,species_199,1
9,1,species_03,2
9,2,species_03,1
9,2,species_10,1
9,3,species_10,2
9,4,species_03,1
9,4,species_10,1
9,5,species_03,2
10,1,species_036,3
10,1,species_043,1
10,1,species_074,2
10,1,species_083,2
10,1,species_107,1
10,1,species_109,1
10,1,species_149,1
10,1,species_157,2
10,1,species_172,1
10,1,species_177,1
10,2,species_001,1
10,2,species_002,1
10,2,species_011,1
10,2,species_036,3
10,2,species_041,1
10,2,species_043,1
10,2,species_054,2
10,2,species_075,1
10,2,species_076,1
10,2,species_083,1
10,2,species_157,2
10,3,species_001,3
10,3,species_002,4
10,3,species_008,1
10,3,species_036,2
10,3,species_074,1
10,3,species_075,2
10,3,species_083,1
10,3,species_149,1
10,4,species_001,7
10,4,species_008,3
10,4,species_041,1
10,4,species_058,1
10,4,species_074,1
10,4,species_075,1
10,4,species_139,1
10,5,species_001,7
10,5,species_002,1
10,5,species_008,2
10,5,species_015,1
10,5,species_058,2
10,5,species_139,1
10,5,species_157,1
11,1,species_06,190
11,1,species_08,1
11,1,species_18,12
11,1,species_20,4
11,2,species_01,1
11,2,species_03,4
11,2,species_06,187
11,2,species_08,3
11,2,species_18,8
11,2,species_19,1
11,2,species_20,3
11,3,species_03,3
11,3,species_06,191
11,3,species_08,6
11,3,species_18,5
11,3,species_19,1
11,3,species_20,1
11,4,species_01,1
11,4,species_03,4
11,4,species_06,192
11,4,species_08,5
11,4,species_18,3
11,4,species_20,2
11,5,species_01,2
11,5,species_03,9
11,5,species_06,184
11,5,species_08,5
11,5,species_18,5
11,5,species_20,2
12,1,species_005,7
12,1,species_013,12
12,1,species_019,2
12,1,species_028,3
12,1,species_035,19
12,1,species_040,4
12,1,species_043,9
12,1,species_057,1
12,1,species_059,3
12,1,species_074,1
12,1,species_080,1
12,1,species_089,3
12,1,species_090,1
12,1,species_109,2
12,1,species_125,8
12,1,species_129,1
12,1,species_143,1
12,1,species_153,2
12,1,species_163,1
12,1,species_176,3
12,1,species_179,3
12,1,species_195,1
12,2,species_005,15
12,2,species_006,2
12,2,species_013,4
12,2,species_019,2
12,2,species_028,3
12,2,species_035,12
12,2,species_040,4
12,2,species_043,8
12,2,species_057,4
12,2,species_059,7
12,2,species_080,1
12,2,species_089,2
12,2,species_090,3
12,2,species_108,1
12,2,species_109,2
12,2,species_125,6
12,2,species_153,3
12,2,species_163,3
12,2,species_176,3
12,2,species_179,1
12,2,species_195,2
12,3,species_005,12
12,3,species_006,6
12,3,species_013,4
12,3,species_019,6
12,3,species_028,7
12,3,species_035,3
12,3,species_040,5
12,3,species_043,11
12,3,species_057,2
12,3,species_059,6
12,3,species_069,1
12,3,species_074,1
12,3,species_080,1
12,3,species_089,1
12,3,species_090,1
12,3,species_108,1
12,3,species_109,2
12,3,species_125,5
12,3,species_129,1
12,3,species_140,1
12,3,species_143,2
12,3,species_152,1
12,3,species_153,1
12,3,species_162,1
12,3,species_163,4
12,3,species_176,2
12,4,species_005,7
12,4,species_006,6
12,4,species_011,1
12,4,species_013,10
12,4,species_017,1
12,4,species_019,7
12,4,species_023,1
12,4,species_024,1
12,4,species_025,1
12,4,species_028,5
12,4,species_035,5
12,4,species_040,4
12,4,species_043,8
12,4,species_057,6
12,4,species_059,5
12,4,species_064,1
12,4,species_080,2
12,4,species_089,1
12,4,species_090,2
12,4,species_108,1
12,4,species_109,2
12,4,species_125,3
12,4,species_129,1
12,4,species_140,1
12,4,species_143,2
12,4,species_162,1
12,4,species_163,1
12,4,species_176,1
12,4,species_179,1
12,5,species_005,9
12,5,species_006,3
12,5,species_010,2
12,5,species_013,5
12,5,species_019,8
12,5,species_023,1
12,5,species_025,2
12,5,species_028,7
12,5,species_034,1
12,5,species_035,4
12,5,species_036,1
12,5,species_040,2
12,5,species_043,7
12,5,species_057,2
12,5,species_059,6
12,5,species_063,1
12,5,species_064,1
12,5,species_069,1
12,5,species_071,2
12,5,species_074,2
12,5,species_078,1
12,5,species_080,1
12,5,species_089,1
12,5,species_090,1
12,5,species_108,1
12,5,species_109,2
12,5,species_110,1
12,5,species_112,2
12,5,species_122,1
12,5,species_125,2
12,5,species_127,2
12,5,species_143,1
12,5,species_163,1
12,5,species_179,1
12,5,species_182,1
12,5,species_187,2
13,1,species_03,3
13,1,species_04,1
13,1,species_05,1
13,1,species_08,1
13,1,species_09,1
13,1,species_10,2
13,1,species_11,4
13,1,species_13,2
13,1,species_14,1
13,1,species_15,3
13,1,species_16,1
13,1,species_19,1
13,1,species_20,1
13,2,species_03,2
13,2,species_04,1
13,2,species_07,1
13,2,species_09,1
13,2,species_10,1
13,2,species_11,1
13,2,species_13,4
13,2,species_14,3
13,2,species_15,6
13,2,species_18,1
13,2,species_19,1
13,3,species_03,2
13,3,species_04,4
13,3,species_08,2
13,3,species_10,1
13,3,species_11,3
13,3,species_12,1
13,3,species_13,2
13,3,species_14,1
13,3,species_15,6
13,4,species_03,3
13,4,species_04,2
13,4,species_08,2
13,4,species_09,1
13,4,species_11,2
13,4,species_12,2
13,4,species_13,4
13,4,species_14,2
13,4,species_15,2
13,4,species_20,2
13,5,species_03,3
13,5,species_04,3
13,5,species_08,2
13,5,species_09,1
13,5,species_10,2
13,5,species_11,1
13,5,species_12,1
13,5,species_13,3
13,5,species_14,3
13,5,species_15,2
13,5,species_18,1
14,1,species_012,2
14,1,species_015,1
14,1,species_017,1
14,1,species_024,1
14,1,species_026,1
14,1,species_042,1
14,1,species_046,1
14,1,species_053,1
14,1,species_055,1
14,1,species_082,1
14,1,species_087,1
14,1,species_097,1
14,1,species_099,1
14,1,species_103,1
14,1,species_105,1
14,1,species_109,1
14,1,species_137,1
14,1,species_139,1
14,1,species_141,1
14,1,species_156,1
14,1,species_161,2
14,1,species_165,2
14,1,species_171,2
14,1,species_195,2
14,2,species_003,1
14,2,species_007,1
14,2,species_012,1
14,2,species_015,1
14,2,species_017,1
14,2,species_023,1
14,2,species_024,1
14,2,species_025,2
14,2,species_026,1
14,2,species_029,2
14,2,species_043,1
14,2,species_046,1
14,2,species_059,1
14,2,species_082,1
14,2,species_087,1
14,2,species_097,1
14,2,species_105,1
14,2,species_139,2
14,2,species_141,1
14,2,species_155,2
14,2,species_162,1
14,2,species_164,2
14,2,species_165,1
14,2,species_166,1
14,3,species_015,3
14,3,species_026,1
14,3,species_054,2
14,3,species_064,1
14,3,species_075,1
14,3,species_082,1
14,3,species_097,2
14,3,species_105,1
14,3,species_129,1
14,3,species_139,1
14,3,species_141,1
14,3,species_147,1
14,3,species_155,2
14,3,species_156,2
14,3,species_160,1
14,3,species_161,1
14,3,species_165,2
14,3,species_171,1
14,3,species_177,1
14,3,species_182,1
14,3,species_195,1
14,3,species_199,1
14,4,species_014,1
14,4,species_015,1
14,4,species_023,2
14,4,species_026,1
14,4,species_043,1
14,4,species_061,1
14,4,species_066,3
14,4,species_075,1
14,4,species_082,2
14,4,species_090,2
14,4,species_128,1
14,4,species_129,1
14,4,species_136,2
14,4,species_137,1
14,4,species_139,1
14,4,species_141,1
14,4,species_156,1
14,4,species_162,1
14,4,species_164,1
14,4,species_165,1
14,4,species_171,1
14,4,species_177,1
14,4,species_182,1
14,5,species_012,1
14,5,species_015,3
14,5,species_023,4
14,5,species_026,1
14,5,species_041,1
14,5,species_043,1
14,5,species_054,1
14,5,species_064,2
14,5,species_082,1
14,5,species_090,3
14,5,species_103,2
14,5,species_109,1
14,5,species_120,1
14,5,species_125,2
14,5,species_137,1
14,5,species_165,1
14,5,species_177,2
14,5,species_182,1
15,1,species_01,16
15,1,species_02,8
15,1,species_03,10
15,1,species_04,4
15,1,species_05,9
15,1,species_06,5
15,1,species_07,1
15,1,species_08,3
15,1,species_09,10
15,1,species_10,4
15,1,species_11,2
15,1,species_12,5
15,1,species_13,28
15,1,species_14,12
15,1,species_15,9
15,1,species_16,20
15,1,species_18,14
15,1,species_19,9
15,1,species_20,25
15,2,species_01,14
15,2,species_02,5
15,2,species_03,12
15,2,species_04,1
15,2,species_05,10
15,2,species_06,8
15,2,species_08,6
15,2,species_09,6
15,2,species_10,8
15,2,species_11,1
15,2,species_12,2
15,2,species_13,35
15,2,species_14,19
15,2,species_15,4
15,2,species_16,14
15,2,species_18,16
15,2,species_19,5
15,2,species_20,28
15,3,species_01,14
15,3,species_02,8
15,3,species_03,12
15,3,species_04,5
15,3,species_05,8
15,3,species_06,14
15,3,species_07,2
15,3,species_08,4
15,3,species_09,5
15,3,species_10,5
15,3,species_11,3
15,3,species_12,5
15,3,species_13,29
15,3,species_14,13
15,3,species_15,9
15,3,species_16,9
15,3,species_17,2
15,3,species_18,16
15,3,species_19,5
15,3,species_20,26
15,4,species_01,12
15,4,species_02,8
15,4,species_03,9
15,4,species_04,3
15,4,species_05,2
15,4,species_06,13
15,4,species_07,4
15,4,species_08,2
15,4,species_09,7
15,4,species_10,7
15,4,species_11,7
15,4,species_12,1
15,4,species_13,34
15,4,species_14,16
15,4,species_15,4
15,4,species_16,13
15,4,species_17,3
15,4,species_18,15
15,4,species_19,8
15,4,species_20,26
15,5,species_01,14
15,5,species_02,9
15,5,species_03,7
15,5,species_04,10
15,5,species_05,2
15,5,species_06,14
15,5,species_07,4
15,5,species_08,4
15,5,species_09,10
15,5,species_10,8
15,5,species_11,6
15,5,species_12,5
15,5,species_13,20
15,5,species_14,24
15,5,species_15,4
15,5,species_16,21
15,5,species_18,14
15,5,species_19,6
15,5,species_20,12
16,1,species_002,1
16,1,species_005,1
16,1,species_006,1
16,1,species_007,1
16,1,species_009,1
16,1,species_010,4
16,1,species_012,2
16,1,species_013,4
16,1,species_016,3
16,1,species_018,1
16,1,species_020,1
16,1,species_022,2
16,1,species_023,4
16,1,species_024,3
16,1,species_025,2
16,1,species_026,3
16,1,species_030,3
16,1,species_031,8
16,1,species_035,3
16,1,species_037,5
16,1,species_040,2
16,1,species_041,2
16,1,species_042,1
16,1,species_045,1
16,1,species_048,1
16,1,species_049,2
16,1,species_051,1
16,1,species_052,1
16,1,species_056,4
16,1,species_058,1
16,1,species_060,1
16,1,species_061,1
16,1,species_062,3
16,1,species_066,3
16,1,species_067,2
16,1,species_070,2
16,1,species_071,2
16,1,species_074,1
16,1,species_076,1
16,1,species_077,2
16,1,species_078,1
16,1,species_079,3
16,1,species_082,1
16,1,species_084,5
16,1,species_086,1
16,1,species_087,4
16,1,species_092,3
16,1,species_094,4
16,1,species_096,2
16,1,species_098,6
16,1,species_100,1
16,1,species_102,1
16,1,species_103,1
16,1,species_105,2
16,1,species_107,2
16,1,species_108,1
16,1,species_112,2
16,1,species_113,3
16,1,species_115,2
16,1,species_122,1
16,1,species_124,2
16,1,species_126,2
16,1,species_129,3
16,1,species_132,8
16,1,species_135,3
16,1,species_137,3
16,1,species_138,1
16,1,species_139,2
16,1,species_140,1
16,1,species_142,2
16,1,species_144,1
16,1,species_147,3
16,1,species_149,1
16,1,species_150,2
16,1,species_151,2
16,1,species_152,8
16,1,species_155,2
16,1,species_157,1
16,1,species_158,1
16,1,species_159,1
16,1,species_161,2
16,1,species_163,1
16,1,species_167,1
16,1,species_169,3
16,1,species_170,4
16,1,species_174,3
16,1,species_175,1
16,1,species_177,1
16,1,species_181,3
16,1,species_187,1
16,1,species_189,1
16,1,species_190,1
16,1,species_192,3
16,1,species_194,1
16,1,species_198,2
16,1,species_200,3
16,2,species_001,1
16,2,species_006,2
16,2,species_007,3
16,2,species_008,1
16,2,species_011,1
16,2,species_012,2
16,2,species_013,7
16,2,species_015,1
16,2,species_016,5
16,2,species_017,1
16,2,species_019,1
16,2,species_020,1
16,2,species_021,1
16,2,species_022,2
16,2,species_023,1
16,2,species_026,2
16,2,species_027,1
16,2,species_030,1
16,2,species_031,5
16,2,species_035,3
16,2,species_037,3
16,2,species_040,1
16,2,species_041,1
16,2,species_046,1
16,2,species_047,3
16,2,species_048,1
16,2,species_051,1
16,2,species_052,1
16,2,species_054,2
16,2,species_057,1
16,2,species_060,1
16,2,species_062,2
16,2,species_063,4
16,2,species_064,4
16,2,species_065,1
16,2,species_066,3
16,2,species_067,4
16,2,species_068,3
16,2,species_069,1
16,2,species_071,2
16,2,species_072,1
16,2,species_074,1
16,2,species_075,1
16,2,species_076,1
16,2,species_077,1
16,2,species_078,2
16,2,species_079,1
16,2,species_080,2
16,2,species_082,2
16,2,species_084,5
16,2,species_085,2
16,2,species_086,1
16,2,species_087,1
16,2,species_090,1
16,2,species_091,2
