parameter_id,iteration,species,N
1,1,species_02,12
1,1,species_14,4
1,2,species_02,10
1,2,species_14,3
1,2,species_19,3
1,3,species_02,11
1,3,species_14,4
1,3,species_19,1
1,4,species_02,12
1,4,species_06,1
1,4,species_14,3
1,5,species_02,10
1,5,species_14,2
1,5,species_19,4
2,1,species_037,1
2,1,species_059,3
2,1,species_072,1
2,1,species_115,1
2,1,species_127,3
2,1,species_164,6
2,1,species_177,2
2,1,species_193,1
2,2,species_059,2
2,2,species_063,2
2,2,species_071,1
2,2,species_072,2
2,2,species_083,1
2,2,species_113,1
2,2,species_127,3
2,2,species_164,3
2,2,species_177,2
2,2,species_193,1
2,3,species_015,1
2,3,species_026,1
2,3,species_063,1
2,3,species_083,1
2,3,species_087,1
2,3,species_127,1
2,3,species_132,2
2,3,species_164,4
2,3,species_172,1
2,3,species_177,2
2,3,species_189,1
2,3,species_193,2
2,4,species_006,1
2,4,species_026,2
2,4,species_028,1
2,4,species_083,2
2,4,species_087,1
2,4,species_093,1
2,4,species_115,1
2,4,species_127,1
2,4,species_164,1
2,4,species_172,1
2,4,species_177,1
2,4,species_189,1
2,4,species_193,2
2,4,species_198,2
2,5,species_037,1
2,5,species_051,1
2,5,species_059,1
2,5,species_072,1
2,5,species_083,1
2,5,species_093,1
2,5,species_127,1
2,5,species_135,1
2,5,species_164,4
2,5,species_176,1
2,5,species_193,3
2,5,species_198,1
2,5,species_200,1
