unique_id,parameter_id,simulation_function,untb_version,date,THETA,M,N,NSAMPS,STEPL,SEED,NBURN
v3,1,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,10,0.2,1000,600,0.1,41,100
v3,2,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,20,0.2,1000,600,0.1,41,100
v3,3,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,30,0.2,1000,600,0.1,41,100
v3,4,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,1000,600,0.1,41,100
v3,5,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,50,0.2,1000,600,0.1,41,100
v3,6,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,60,0.2,1000,600,0.1,41,100
v3,7,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,70,0.2,1000,600,0.1,41,100
v3,8,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,80,0.2,1000,600,0.1,41,100
v3,9,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,90,0.2,1000,600,0.1,41,100
v3,10,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.01,1000,600,0.1,41,100
v3,11,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.05,1000,600,0.1,41,100
v3,12,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.1,1000,600,0.1,41,100
v3,13,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,1000,600,0.1,41,100
v3,14,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.3,1000,600,0.1,41,100
v3,15,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.4,1000,600,0.1,41,100
v3,16,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.5,1000,600,0.1,41,100
v3,17,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.6,1000,600,0.1,41,100
v3,18,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.7,1000,600,0.1,41,100
v3,19,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.8,1000,600,0.1,41,100
v3,20,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.9,1000,600,0.1,41,100
v3,21,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,100,600,0.1,41,100
v3,22,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,200,600,0.1,41,100
v3,23,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,300,600,0.1,41,100
v3,24,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,500,600,0.1,41,100
v3,25,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,1000,600,0.1,41,100
v3,26,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,2000,600,0.1,41,100
v3,27,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,3000,600,0.1,41,100
v3,28,sim_neutral.R,1.7.4,2022-06-12T10:57:23.726898Z,40,0.2,5000,600,0.1,41,100
