unique_id,parameter_id,sRealm_version,mobsim_version,date,seed,S_POOL,N_SIM,SAD_COEF,SIGMA,QUADRAT_WIDTH
RVLDN5849P,1,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.05,0.1
RVLDN5849P,2,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.05,0.1
RVLDN5849P,3,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.05,0.1
RVLDN5849P,4,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.05,0.1
RVLDN5849P,5,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.05,0.1
RVLDN5849P,6,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.05,0.1
RVLDN5849P,7,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.05,0.1
RVLDN5849P,8,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.05,0.1
RVLDN5849P,9,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.05,0.1
RVLDN5849P,10,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.05,0.1
RVLDN5849P,11,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.05,0.1
RVLDN5849P,12,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.05,0.1
RVLDN5849P,13,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.2,0.1
RVLDN5849P,14,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.2,0.1
RVLDN5849P,15,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.2,0.1
RVLDN5849P,16,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.2,0.1
RVLDN5849P,17,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.2,0.1
RVLDN5849P,18,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.2,0.1
RVLDN5849P,19,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.2,0.1
RVLDN5849P,20,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.2,0.1
RVLDN5849P,21,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.2,0.1
RVLDN5849P,22,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.2,0.1
RVLDN5849P,23,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.2,0.1
RVLDN5849P,24,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.2,0.1
RVLDN5849P,25,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.8,0.1
RVLDN5849P,26,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.8,0.1
RVLDN5849P,27,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.8,0.1
RVLDN5849P,28,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.8,0.1
RVLDN5849P,29,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.8,0.1
RVLDN5849P,30,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.8,0.1
RVLDN5849P,31,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.8,0.1
RVLDN5849P,32,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.8,0.1
RVLDN5849P,33,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.8,0.1
RVLDN5849P,34,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.8,0.1
RVLDN5849P,35,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.8,0.1
RVLDN5849P,36,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.8,0.1
RVLDN5849P,37,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.05,0.316227766016838
RVLDN5849P,38,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.05,0.316227766016838
RVLDN5849P,39,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.05,0.316227766016838
RVLDN5849P,40,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.05,0.316227766016838
RVLDN5849P,41,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.05,0.316227766016838
RVLDN5849P,42,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.05,0.316227766016838
RVLDN5849P,43,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.05,0.316227766016838
RVLDN5849P,44,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.05,0.316227766016838
RVLDN5849P,45,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.05,0.316227766016838
RVLDN5849P,46,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.05,0.316227766016838
RVLDN5849P,47,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.05,0.316227766016838
RVLDN5849P,48,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.05,0.316227766016838
RVLDN5849P,49,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.2,0.316227766016838
RVLDN5849P,50,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.2,0.316227766016838
RVLDN5849P,51,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.2,0.316227766016838
RVLDN5849P,52,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.2,0.316227766016838
RVLDN5849P,53,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.2,0.316227766016838
RVLDN5849P,54,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.2,0.316227766016838
RVLDN5849P,55,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.2,0.316227766016838
RVLDN5849P,56,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.2,0.316227766016838
RVLDN5849P,57,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.2,0.316227766016838
RVLDN5849P,58,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.2,0.316227766016838
RVLDN5849P,59,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.2,0.316227766016838
RVLDN5849P,60,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.2,0.316227766016838
RVLDN5849P,61,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.1,0.8,0.316227766016838
RVLDN5849P,62,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.1,0.8,0.316227766016838
RVLDN5849P,63,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.1,0.8,0.316227766016838
RVLDN5849P,64,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.1,0.8,0.316227766016838
RVLDN5849P,65,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,0.5,0.8,0.316227766016838
RVLDN5849P,66,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,0.5,0.8,0.316227766016838
RVLDN5849P,67,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,0.5,0.8,0.316227766016838
RVLDN5849P,68,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,0.5,0.8,0.316227766016838
RVLDN5849P,69,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,2000,1,0.8,0.316227766016838
RVLDN5849P,70,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,2000,1,0.8,0.316227766016838
RVLDN5849P,71,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,20,20000,1,0.8,0.316227766016838
RVLDN5849P,72,0.1.1.9009,0.2.0.9015,2022-03-07T18:08:58.804070Z,42,200,20000,1,0.8,0.316227766016838
