unique_id,parameter_id,sRealm_version,mobsim_version,date,seed,S_POOL,N_SIM,SAD_COEF,SIGMA,QUADRAT_WIDTH
UBHMI0476D,1,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.05,0.1
UBHMI0476D,2,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.05,0.1
UBHMI0476D,3,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.05,0.1
UBHMI0476D,4,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.05,0.1
UBHMI0476D,5,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.05,0.1
UBHMI0476D,6,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.05,0.1
UBHMI0476D,7,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.05,0.1
UBHMI0476D,8,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.5,0.05,0.1
UBHMI0476D,9,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,1,0.05,0.1
UBHMI0476D,10,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,1,0.05,0.1
UBHMI0476D,11,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,1,0.05,0.1
UBHMI0476D,12,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,1,0.05,0.1
UBHMI0476D,13,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.2,0.1
UBHMI0476D,14,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.2,0.1
UBHMI0476D,15,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.2,0.1
UBHMI0476D,16,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.2,0.1
UBHMI0476D,17,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.2,0.1
UBHMI0476D,18,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.2,0.1
UBHMI0476D,19,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.2,0.1
UBHMI0476D,20,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.5,0.2,0.1
UBHMI0476D,21,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,1,0.2,0.1
UBHMI0476D,22,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,1,0.2,0.1
UBHMI0476D,23,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,1,0.2,0.1
UBHMI0476D,24,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,1,0.2,0.1
UBHMI0476D,25,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.8,0.1
UBHMI0476D,26,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.8,0.1
UBHMI0476D,27,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.8,0.1
UBHMI0476D,28,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.8,0.1
UBHMI0476D,29,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.8,0.1
UBHMI0476D,30,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.8,0.1
UBHMI0476D,31,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.8,0.1
UBHMI0476D,32,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.5,0.8,0.1
UBHMI0476D,33,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,1,0.8,0.1
UBHMI0476D,34,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,1,0.8,0.1
UBHMI0476D,35,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,1,0.8,0.1
UBHMI0476D,36,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,1,0.8,0.1
UBHMI0476D,37,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.05,0.316227766016838
UBHMI0476D,38,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.05,0.316227766016838
UBHMI0476D,39,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.05,0.316227766016838
UBHMI0476D,40,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.05,0.316227766016838
UBHMI0476D,41,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.05,0.316227766016838
UBHMI0476D,42,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.05,0.316227766016838
UBHMI0476D,43,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.05,0.316227766016838
UBHMI0476D,44,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.5,0.05,0.316227766016838
UBHMI0476D,45,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,1,0.05,0.316227766016838
UBHMI0476D,46,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,1,0.05,0.316227766016838
UBHMI0476D,47,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,1,0.05,0.316227766016838
UBHMI0476D,48,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,1,0.05,0.316227766016838
UBHMI0476D,49,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.2,0.316227766016838
UBHMI0476D,50,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.2,0.316227766016838
UBHMI0476D,51,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.2,0.316227766016838
UBHMI0476D,52,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.2,0.316227766016838
UBHMI0476D,53,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.2,0.316227766016838
UBHMI0476D,54,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.2,0.316227766016838
UBHMI0476D,55,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.2,0.316227766016838
UBHMI0476D,56,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.5,0.2,0.316227766016838
UBHMI0476D,57,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,1,0.2,0.316227766016838
UBHMI0476D,58,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,1,0.2,0.316227766016838
UBHMI0476D,59,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,1,0.2,0.316227766016838
UBHMI0476D,60,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,1,0.2,0.316227766016838
UBHMI0476D,61,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.1,0.8,0.316227766016838
UBHMI0476D,62,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.1,0.8,0.316227766016838
UBHMI0476D,63,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.1,0.8,0.316227766016838
UBHMI0476D,64,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,20000,0.1,0.8,0.316227766016838
UBHMI0476D,65,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,2000,0.5,0.8,0.316227766016838
UBHMI0476D,66,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,200,2000,0.5,0.8,0.316227766016838
UBHMI0476D,67,0.1.1.9009,0.2.0.9015,2022-03-07T18:36:31.004375Z,42,20,20000,0.5,0.8,0.316227766016838
